id,name,name1,active,size,rank
3500101,角島沖西断層帯,-,-,北部区間M7.2程度、南部区間M7.0程度以上,-
3510101,益田沖断層,-,-,M7.4程度,-
3520101,千里ヶ瀬東方南断層,-,-,M7.5程度,-
3530101,千里ヶ瀬東方北断層,-,-,M7.2程度,-
3540101,タツモチ東方断層,-,-,M7.1程度,-
3550101,ウマモチ北西断層,-,-,M7.4程度,-
3560101,対馬海盆南方断層,-,-,M7.6程度以上,-
3570101,長門はるか沖断層,-,-,M7.0程度,-
3580101,対馬北東沖断層,-,-,M7.2程度,-
3590101,白島沖断層帯,-,北部区間,M7.1程度,-
3590102,白島沖断層帯,-,南部区間,M7.2程度,-
3600101,沖ノ島近海断層,-,-,M7.1程度,-
3610101,小呂島近海断層帯,-,北西沖区間,M7.4程度,-
3610102,小呂島近海断層帯,-,東方沖区間,M7.2程度,-
3620101,対馬東水道断層,-,-,M7.2程度,-
3630101,対馬北方沖断層,-,-,M7.6程度以上,-
3640101,対馬上県西方沖断層,-,-,M7.5程度,-
3650101,対馬南方沖断層,-,-,M7.4程度,-
3660101,七里ヶ曾根断層,-,-,M7.3程度,-
3670101,第１五島堆断層帯,-,-,北部区間M7.3程度、中部区間M7.1程度、南部区間M7.1程度,-
3680101,島前南東沖断層,-,-,M6.8程度(海域の短い活断層),-
3690101,江津沖南断層,-,-,M6.8程度(海域の短い活断層),-
3700101,畳ヶ浦沖1断層,-,-,M6.8程度(海域の短い活断層),-
3710101,畳ヶ浦沖2断層,-,-,M6.8程度(海域の短い活断層),-
3720101,宇生カ崎沖断層,-,-,M6.8程度(海域の短い活断層),-
3730101,須崎沖西1断層,-,-,M6.8程度(海域の短い活断層),-
3740101,須崎沖西2断層,-,-,M6.8程度(海域の短い活断層),-
3750101,対馬海盆南方の南1断層,-,-,M6.8程度(海域の短い活断層),-
3760101,対馬海盆南方の南2断層,-,-,M6.8程度(海域の短い活断層),-
3770101,対馬海盆南方の南3断層,-,-,M6.8程度(海域の短い活断層),-
3780101,ウマモチ西1断層,-,-,M6.8程度(海域の短い活断層),-
3790101,ウマモチ西2断層,-,-,M6.9程度(海域の短い活断層),-
3800101,ウマモチ西3断層,-,-,M6.8程度(海域の短い活断層),-
3810101,長門はるか沖南東断層,-,-,M6.8程度(海域の短い活断層),-
3820101,長門はるか沖南断層,-,-,M6.8程度(海域の短い活断層),-
